DefaultSC.ElapsedSecs     DefaultSC.EarthFixed.X    DefaultSC.EarthFixed.Y    DefaultSC.EarthFixed.Z    DefaultSC.EarthMJ2000Eq.X   DefaultSC.EarthMJ2000Eq.Y   DefaultSC.EarthMJ2000Eq.Z   
0                         -4687.930419151361        1303.786408001273         4670.588210376982         4573.52699346624            1692.600825185874           4659.280859748822           
0.9999999194405973        -4689.386011279956        1296.617717026777         4671.122586148564         4570.380442974654           1699.593959215285           4659.822728602113           
2.000000153202564         -4690.836594202543        1289.447564036718         4671.650888367154         4567.227967073644           1706.584889661219           4660.358538551719           
3.000000072643161         -4692.28216632367         1282.275957344236         4672.173116351115         4564.069569855459           1713.573607462548           4660.888288906261           
3.999999992083758         -4693.722725964132        1275.102905586376         4672.689269426674         4560.905255419972           1720.560103561025           4661.411978982198           
6.000000145286322         -4696.588801201809        1260.752501109625         4673.703348196762         4554.558891334669           1734.526394430867           4662.441175603292           
7.999999984167516         -4699.434806881105        1246.396418661134         4674.693119444358         4548.18890776898            1748.483689862711           4663.446123103457           
10.00000013737008         -4702.260729935283        1232.034726750202         4675.658578062164         4541.795337795757           1762.431917495268           4664.426816296607           
11.99999997625127         -4705.06655749459         1217.667493481444         4676.59971906865          4535.37821460928            1776.371005014375           4665.38325012213            
15.89398534270003         -4710.471782766042        1189.678957587596         4678.362330962237         4522.81667763067            1803.483810559592           4667.175803815787           
19.78797039482743         -4715.800687857462        1161.670179695889         4680.032707371049         4510.166229201975           1830.561161187803           4668.876341923309           
23.68195544695482         -4721.053180052989        1133.641664926288         4681.610815633879         4497.427118263179           1857.60252474534            4670.484831190021           
27.57594081340358         -4726.22916783795         1105.593918725148         4683.096624898689         4484.599595484001           1884.607369786219           4672.001240166137           
31.46992586553097         -4731.32856097398         1077.527446532608         4684.490106123047         4471.68391325935            1911.575165581322           4673.42553920721            
35.36391123197973         -4736.351270322602        1049.442754530652         4685.791232074661         4458.680325704022           1938.505382129169           4674.757700474679           
39.25789628410712         -4741.297208046747        1021.340348767458         4686.999977331806         4445.589088647956           1965.397490165614           4675.997697936303           
43.15188165055588         -4746.166287417181        993.2207360167            4688.116318283744         4432.410459631389           1992.250961173808           4677.145507366598           
47.04586670268327         -4750.958423003606        965.0844229009824         4689.140233131124         4419.144697900015           2019.065267394195           4678.20110634725            
50.93985206913203         -4755.673530492008        936.9319167503735         4690.071701886352         4405.792064400158           2045.839881834515           4679.16447426749            
